NOP ;00
LD BC,NN ;01XXXX
LD (BC),A ;02
INC BC ;03
INC B ;04
DEC B ;05
LD B,N ;06XX
RLCA ;07
EX AF,AF' ;08
ADD HL,BC ;09
LD A,(BC) ;0A
DEC BC ;0B
INC C ;0C
DEC C ;0D
LD C,N ;0EXX
RRCA ;0F
DJNZ N ;10XX
LD DE,NN ;11XXXX
LD (DE),A ;12
INC DE ;13
INC D ;14
DEC D ;15
LD D,N ;16XX
RLA ;17
JR N ;18XX
ADD HL,DE ;19
LD A,(DE) ;1A
DEC DE ;1B
INC E ;1C
DEC E ;1D
LD E,N ;1EXX
RRA ;1F
JR NZ,N ;20XX
LD HL,NN ;21XXXX
LD (NN),HL ;22XXXX
INC HL ;23
INC H ;24
DEC H ;25
LD H,N ;26XX
DAA ;27
JR Z,N ;28XX
ADD HL,HL ;29
LD HL,(NN) ;2AXXXX
DEC HL ;2B
INC L ;2C
DEC L ;2D
LD L,N ;2EXX
CPL ;2F
JR NC,N ;30XX
LD SP,NN ;31XXXX
LD (NN),A ;32XXXX
INC SP ;33
INC (HL) ;34
DEC (HL) ;35
LD (HL),N ;36XX
SCF ;37
JR C,N ;38XX
ADD HL,SP ;39
LD A,(NN) ;3AXXXX
DEC SP ;3B
INC A ;3C
DEC A ;3D
LD A,N ;3EXX
CCF ;3F
LD B,B ;40
LD B,C ;41
LD B,D ;42
LD B,E ;43
LD B,H ;44
LD B,L ;45
LD B,(HL) ;46
LD B,A ;47
LD C,B ;48
LD C,C ;49
LD C,D ;4A
LD C,E ;4B
LD C,H ;4C
LD C,L ;4D
LD C,(HL) ;4E
LD C,A ;4F
LD D,B ;50
LD D,C ;51
LD D,D ;52
LD D,E ;53
LD D,H ;54
LD D,L ;55
LD D,(HL) ;56
LD D,A ;57
LD E,B ;58
LD E,C ;59
LD E,D ;5A
LD E,E ;5B
LD E,H ;5C
LD E,L ;5D
LD E,(HL) ;5E
LD E,A ;5F
LD H,B ;60
LD H,C ;61
LD H,D ;62
LD H,E ;63
LD H,H ;64
LD H,L ;65
LD H,(HL) ;66
LD H,A ;67
LD L,B ;68
LD L,C ;69
LD L,D ;6A
LD L,E ;6B
LD L,H ;6C
LD L,L ;6D
LD L,(HL) ;6E
LD L,A ;6F
LD (HL),B ;70
LD (HL),C ;71
LD (HL),D ;72
LD (HL),E ;73
LD (HL),H ;74
LD (HL),L ;75
HALT ;76
LD (HL),A ;77
LD A,B ;78
LD A,C ;79
LD A,D ;7A
LD A,E ;7B
LD A,H ;7C
LD A,L ;7D
LD A,(HL) ;7E
LD A,A ;7F
ADD A,B ;80
ADD A,C ;81
ADD A,D ;82
ADD A,E ;83
ADD A,H ;84
ADD A,L ;85
ADD A,(HL) ;86
ADD A,A ;87
ADC A,B ;88
ADC A,C ;89
ADC A,D ;8A
ADC A,E ;8B
ADC A,H ;8C
ADC A,L ;8D
ADC A,(HL) ;8E
ADC A,A ;8F
SUB B ;90
SUB C ;91
SUB D ;92
SUB E ;93
SUB H ;94
SUB L ;95
SUB (HL) ;96
SUB A ;97
SBC B ;98
SBC C ;99
SBC D ;9A
SBC E ;9B
SBC H ;9C
SBC L ;9D
SBC (HL) ;9E
SBC A ;9F
AND B ;A0
AND C ;A1
AND D ;A2
AND E ;A3
AND H ;A4
AND L ;A5
AND (HL) ;A6
AND A ;A7
XOR B ;A8
XOR C ;A9
XOR D ;AA
XOR E ;AB
XOR H ;AC
XOR L ;AD
XOR (HL) ;AE
XOR A ;AF
OR B ;B0
OR C ;B1
OR D ;B2
OR E ;B3
OR H ;B4
OR L ;B5
OR (HL) ;B6
OR A ;B7
CP B ;B8
CP C ;B9
CP D ;BA
CP E ;BB
CP H ;BC
CP L ;BD
CP (HL) ;BE
CP A ;BF
RET NZ ;C0
POP BC ;C1
JP NZ,NN ;C2XXXX
JP NN ;C3XXXX
CALL NZ,NN ;C4XXXX
PUSH BC ;C5
ADD A,N ;C6XX
RST 0 ;C7
RET Z ;C8
RET ;C9
JP Z,NN ;CAXXXX
RLC B ;CB00
RLC C ;CB01
RLC D ;CB02
RLC E ;CB03
RLC H ;CB04
RLC L ;CB05
RLC (HL) ;CB06
RLC A ;CB07
RRC B ;CB08
RRC C ;CB09
RRC D ;CB0A
RRC E ;CB0B
RRC H ;CB0C
RRC L ;CB0D
RRC (HL) ;CB0E
RRC A ;CB0F
RL B ;CB10
RL C ;CB11
RL D ;CB12
RL E ;CB13
RL H ;CB14
RL L ;CB15
RL (HL) ;CB16
RL A ;CB17
RR B ;CB18
RR C ;CB19
RR D ;CB1A
RR E ;CB1B
RR H ;CB1C
RR L ;CB1D
RR (HL) ;CB1E
RR A ;CB1F
SLA B ;CB20
SLA C ;CB21
SLA D ;CB22
SLA E ;CB23
SLA H ;CB24
SLA L ;CB25
SLA (HL) ;CB26
SLA A ;CB27
SRA B ;CB28
SRA C ;CB29
SRA D ;CB2A
SRA E ;CB2B
SRA H ;CB2C
SRA L ;CB2D
SRA (HL) ;CB2E
SRA A ;CB2F
SRL B ;CB38
SRL C ;CB39
SRL D ;CB3A
SRL E ;CB3B
SRL H ;CB3C
SRL L ;CB3D
SRL (HL) ;CB3E
SRL A ;CB3F
BIT 0,B ;CB40
BIT 0,C ;CB41
BIT 0,D ;CB42
BIT 0,E ;CB43
BIT 0,H ;CB44
BIT 0,L ;CB45
BIT 0,(HL) ;CB46
BIT 0,A ;CB47
